iter	Passed	Remaining
441	2356	309
442	2364	304
443	2370	298
444	2377	293
445	2383	288
446	2389	283
447	2397	278
448	2404	273
449	2410	267
450	2415	262
451	2420	257
452	2426	251
453	2431	246
454	2437	241
455	2441	235
456	2447	230
457	2453	224
458	2457	219
459	2463	214
460	2468	208
461	2473	203
462	2478	198
463	2483	192
464	2487	187
465	2492	181
466	2497	176
467	2501	171
468	2506	165
469	2511	160
470	2515	154
471	2520	149
472	2524	144
473	2529	138
474	2533	133
475	2539	128
476	2544	122
477	2550	117
478	2555	112
479	2560	106
480	2565	101
481	2571	96
482	2576	90
483	2582	85
484	2587	80
485	2595	74
486	2600	69
487	2606	64
488	2613	58
489	2621	53
490	2627	48
491	2633	42
492	2639	37
493	2644	32
494	2649	26
495	2655	21
496	2660	16
497	2665	10
498	2670	5
499	2675	0
