iter	RMSE
349	2054.219889
350	2052.865052
351	2052.024823
352	2049.963186
353	2048.704222
354	2047.435787
355	2046.283022
356	2045.338817
357	2044.53892
358	2042.838112
359	2041.929347
360	2040.679776
361	2039.98149
362	2038.652387
363	2037.833954
364	2036.932264
365	2035.076906
366	2034.324638
367	2033.316656
368	2032.765277
369	2031.812758
370	2030.897503
371	2029.760215
372	2028.87396
373	2027.064272
374	2026.147436
375	2025.247308
376	2023.534208
377	2022.063296
378	2021.330806
379	2020.677857
380	2020.048219
381	2019.168107
382	2018.166122
383	2016.944495
384	2015.721424
385	2014.590083
386	2013.656177
387	2013.026476
388	2011.93962
389	2010.949737
390	2009.681337
391	2008.893597
392	2007.608948
393	2006.105091
394	2004.486553
395	2003.544287
396	2002.813755
397	2002.025917
398	2001.372925
399	1999.433973
400	1998.372011
401	1997.174486
402	1996.550709
403	1995.980963
404	1995.320731
405	1994.744217
406	1993.883472
407	1992.770486
408	1991.661192
409	1990.644803
410	1989.446741
411	1988.201719
412	1987.20921
413	1985.945061
414	1985.31222
415	1984.527809
416	1983.452078
417	1982.607545
418	1981.767512
419	1980.834872
420	1979.915661
421	1979.191884
422	1977.937693
423	1976.636786
424	1975.486843
425	1974.678716
426	1973.619787
427	1972.476314
428	1971.729362
429	1971.129257
430	1969.71532
431	1968.375433
432	1967.105443
433	1966.364534
434	1965.400767
435	1964.573792
436	1963.435318
437	1962.309316
438	1960.515762
439	1959.46846
440	1958.771707
441	1957.453499
442	1956.345375
443	1955.611157
444	1954.338647
445	1953.191407
446	1952.167831
447	1951.591575
448	1950.480493
449	1949.406118
450	1948.210114
451	1947.077627
452	1946.221794
453	1945.457161
454	1944.995149
455	1944.516512
456	1943.616397
457	1942.233931
458	1941.110948
459	1939.892051
460	1939.127477
461	1938.417733
462	1937.238091
463	1936.54661
464	1935.490979
465	1934.681748
466	1933.410469
467	1932.041847
468	1931.390366
469	1929.895725
470	1928.917296
471	1927.563913
472	1926.688908
473	1925.696453
474	1925.126094
475	1924.35838
476	1923.135692
477	1922.085661
478	1920.942495
479	1919.829525
480	1918.720029
481	1917.990057
482	1916.672926
483	1915.387165
484	1914.308262
485	1912.978451
486	1912.642064
487	1911.901632
488	1911.187914
489	1910.530565
490	1909.442927
491	1908.388839
492	1907.575204
493	1906.383318
494	1904.806256
495	1904.407681
496	1903.304339
497	1902.943596
498	1902.172032
499	1901.198735
